"X","Merchant.Category.Code","POS.Entry.Mode","POS_DATA","PROCESSING_CODE","Response.Code","Transaction.Amount"
"95","4899",0,"000030100000",0,0,1
"96","5968",0,"000030100000",0,0,119
"97","5734",0,"000030100000",0,116,945
"98","5999",0,"000030100000",0,0,9616.96
"99","7333",0,"000030100000",0,116,29
"100","5732",0,"000030100000",0,0,24.95
"101","5968",0,"000030100000",0,0,12.99
"102","4899",0,"000030100000",0,100,11.99
"103","5968",0,"000030100000",0,0,12.99
"104","4899",0,"000030100000",0,116,9.99
"105","5968",0,"000030100000",0,0,360
"106","5968",0,"000030100000",0,100,119
"107","5968",0,"000030100000",0,100,3.99
"108","5968",0,"000030100000",0,100,7.99
"109","5999",0,"000030100000",0,0,25000
"110","3075",0,"000030100000",0,0,64844
"111","4511",0,"000030100000",0,0,60
"112","4816",0,"000030100000",0,100,72.11
"113","4816",0,"000030100000",0,100,72.11
"114","4816",0,"000030100000",0,100,711
"115","4816",0,"000030100000",0,100,711
"116","7333",0,"000030100000",0,0,99
"117","7216",0,"000030100000",0,0,179.64
"118","5968",0,"000030100000",0,0,1.59
"119","5968",0,"000030100000",0,0,14.19
"120","7997",0,"000030100000",0,100,15
"121","7311",0,"000030100000",0,0,47997.81
"122","5045",0,"000030100000",0,0,1788.6
"123","7392",0,"000030100000",0,100,51.5
"124","4816",0,"000030100000",0,100,3096.5
"125","5968",0,"000030100000",0,0,1.59
"126","4899",0,"000030100000",0,0,7.99
"127","5968",0,"000030100000",0,100,89.99
"128","5968",0,"000030100000",0,100,89.99
"129","4816",0,"000030100000",0,100,796.32
"130","5734",0,"000030100000",0,100,5.97
"131","5734",0,"000030100000",0,0,10
"132","7333",0,"000030100000",0,100,49
"133","5968",0,"000030100000",0,0,260
"134","4899",0,"000030100000",0,0,12.09
"135","5968",0,"000030100000",0,100,13.77
"136","5192",0,"000030100000",0,0,7
"137","5968",0,"000030100000",0,0,1.99
"138","5968",0,"000030100000",0,0,12.99
"139","5816",0,"000030100000",0,0,17.97
"140","5999",0,"000030100000",0,116,2500
"141","5734",0,"000030100000",0,116,12
"142","7311",0,"000030100000",0,0,2454.71
"143","5968",0,"000030100000",0,100,39
"144","7372",0,"000030100000",0,0,1.32
"145","4899",0,"000030100000",0,0,1
"146","5968",0,"000030100000",0,100,183.94
"147","5968",0,"000030100000",0,100,183.94
"148","5968",0,"000030100000",0,100,183.94
"149","5968",0,"000030100000",0,100,183.94
"150","4899",0,"000030100000",0,100,7.99
"151","4816",0,"000030100000",0,0,5146.4
"152","5968",0,"000030100000",0,100,12.99
"153","7311",0,"000030100000",0,116,3540
"154","5734",0,"000030100000",0,100,11.8
"155","4899",0,"000030100000",0,0,109
"156","5999",0,"000030100000",0,100,25000
"157","5817",0,"000030100000",0,100,24.95
"158","5968",0,"000030100000",0,0,12.99
